ID	Fwy	Dir	District	County	City	State_PM	Abs_PM	Latitude	Longitude	Length	Type	Lanes	Name	User_ID_1	User_ID_2	User_ID_3	User_ID_4
402130	101	S	4	97	70098	20.34	488.374	38.440397	-122.72033	.33	ML	3	6th St NB on ramp		L3-S-20-101-02034		
402131	101	S	4	97	70098	20.73	488.764	38.445357	-122.723779	.255	ML	3	SB College Ave ramp		L3-S-20-101-02073		
402132	101	N	4	97	70098	20.73	489.432	38.445432	-122.723575	.255	ML	3	SB College Ave ramp		L3-N-20-101-02073		
402133	101	N	4	97	70098	20.85	489.552	38.446969	-122.724625	.25	ML	3	NB College Ave ramp		L3-N-20-101-02085		
402134	101	S	4	97	70098	20.85	488.884	38.446913	-122.724791	.25	ML	3	NB College Ave ramp		L3-S-20-101-02085		
402135	101	N	4	97	70098	21.23	489.932	38.45231	-122.725972	.435	ML	3	NB College Ave ramp		L3-N-20-101-02123		
402136	101	S	4	97	70098	21.23	489.264	38.452267	-122.726193	.435	ML	3	NB College Ave ramp		L3-S-20-101-02123		
402137	101	S	4	97	70098	21.72	489.754	38.459424	-122.726283	.842	ML	3	Steele Lane SB on ramp		L3-S-20-101-02172		
402138	101	N	4	97	70098	21.72	490.422	38.459434	-122.7261	.602	ML	3	Steele Lane SB on ramp		L3-N-20-101-02172		
402139	101	S	4	41	68364	9.96	450.565	37.961812	-122.510124	2.075	ML	4	SB on ramp from Francisco Blvd W		L4-S-27-101-00996		
402140	101	N	4	41	68364	9.97	451.243	37.961985	-122.510005	.495	ML	4	On NB101 500ft after the Richmon		L4-N-27-101-00997		
402141	101	N	4	41	68364	10.04	451.313	37.962862	-122.510604	.275	ML	6	SB off-ramp to Francisco Blvd We		L6-N-27-101-01004		
402142	101	N	4	41	68364	10.52	451.793	37.967035	-122.517695	1.58	ML	6	On Francisco Blvd East 80ft afte		L6-N-27-101-01052		
402151	680	N	4	95		0.15	57.553	38.043203	-122.125044	.392	ML	5	Benicia Bridge Pier 7		L5-N-23-680-00015		
402152	680	N	4	95		0.15	57.553	38.043203	-122.125044	.075	ML	5	Benicia Bridge Pier 7		U5-N-23-680-00015		
